epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9621,2.61541,4.44024,1.49868,0.00576,0.06766,0.00375,0.00056,1.97271,4.26217,1.11346,0.00012,0.00012,0.00012
2,51.6372,2.41428,3.58114,1.2651,0.01643,0.12899,0.05005,0.0145,2.05379,4.03854,1.18084,0.0002401,0.0002401,0.0002401
3,76.8651,2.38507,2.47855,1.27089,0.03104,0.3964,0.15527,0.05126,2.18336,2.99044,1.19409,0.000349904,0.000349904,0.000349904
4,109.177,2.32536,2.04674,1.24565,0.86293,0.15392,0.17235,0.05815,2.13268,2.01392,1.22187,0.000449412,0.000449412,0.000449412
5,140.724,2.28277,1.87994,1.24768,0.79317,0.27878,0.22717,0.0853,2.10126,2.45016,1.22922,0.000538624,0.000538624,0.000538624
6,169.974,2.29359,1.89209,1.23066,0.53469,0.30797,0.24935,0.0993,2.02903,2.4359,1.20114,0.00061754,0.00061754,0.00061754
7,197.855,2.23304,1.80444,1.20243,0.47994,0.30683,0.24006,0.09237,2.07482,2.45891,1.20774,0.00068616,0.00068616,0.00068616
8,226.083,2.28697,1.76062,1.23282,0.79291,0.31097,0.26119,0.1029,2.03389,2.50402,1.19451,0.0007228,0.0007228,0.0007228
9,253.617,2.22478,1.72298,1.23138,0.80847,0.30703,0.26774,0.10756,2.0091,2.26122,1.17922,0.0006832,0.0006832,0.0006832
10,282.338,2.20434,1.63021,1.21322,0.80589,0.31491,0.26459,0.10941,2.01222,2.02032,1.18046,0.0006436,0.0006436,0.0006436
11,315.655,2.19819,1.63904,1.21128,0.83598,0.28362,0.27303,0.11005,2.03962,1.97505,1.18587,0.000604,0.000604,0.000604
12,344.425,2.0665,1.57274,1.20166,0.87108,0.2717,0.29882,0.12124,1.98263,1.80284,1.16178,0.0005644,0.0005644,0.0005644
13,373.201,2.13033,1.55207,1.17313,0.53196,0.4546,0.30725,0.13106,1.99563,1.78281,1.16603,0.0005248,0.0005248,0.0005248
14,400.79,2.08089,1.53508,1.15344,0.64583,0.40211,0.32444,0.14053,2.03087,1.72386,1.1739,0.0004852,0.0004852,0.0004852
15,429.17,2.05611,1.4802,1.16482,0.61736,0.38319,0.33181,0.14815,1.94688,1.64181,1.13906,0.0004456,0.0004456,0.0004456
16,455.177,2.06313,1.63152,1.2072,0.3761,0.35062,0.33689,0.1471,1.94652,1.69383,1.13321,0.000406,0.000406,0.000406
17,481.453,2.07748,1.56689,1.25493,0.2966,0.3922,0.29541,0.11437,2.0675,1.79226,1.16259,0.0003664,0.0003664,0.0003664
18,509.554,2.07993,1.50051,1.22528,0.39354,0.39791,0.31515,0.12881,2.0273,1.81769,1.15379,0.0003268,0.0003268,0.0003268
19,536.882,1.99957,1.45461,1.20869,0.43291,0.35792,0.32338,0.14081,2.0591,1.81497,1.18158,0.0002872,0.0002872,0.0002872
20,565.34,2.03639,1.43739,1.19068,0.4671,0.41178,0.35556,0.1529,1.95475,1.89949,1.14202,0.0002476,0.0002476,0.0002476
21,594.051,2.03301,1.40695,1.20209,0.43808,0.44346,0.36484,0.15882,1.93404,1.86088,1.12958,0.000208,0.000208,0.000208
22,622.66,2.02444,1.41091,1.18807,0.43227,0.4619,0.37135,0.15975,1.93197,1.74837,1.12473,0.0001684,0.0001684,0.0001684
23,651.476,1.99097,1.38248,1.2138,0.46085,0.44715,0.36858,0.16081,1.92528,1.67573,1.12321,0.0001288,0.0001288,0.0001288
24,679.97,1.96245,1.32864,1.16059,0.46948,0.44166,0.36976,0.16104,1.91981,1.65872,1.12207,8.92e-05,8.92e-05,8.92e-05
25,705.871,1.97406,1.34491,1.17756,0.46767,0.44965,0.37474,0.16406,1.91863,1.66963,1.12355,4.96e-05,4.96e-05,4.96e-05
